Frame,Timestamp (s),Voltage (V),Current (A),Power (W),Power Factor (%),Total (kWh),Oneshot (kWh),Total ($),Oneshot ($)
140,4.668333333,120.9,0.093,3.68,394,2.3846,0.04958,1.61,3
141,4.701666667,120.9,0.093,3.68,0.325,0.04958,161,3,25420
142,4.735,120.9,0.093,3.68,0.395,38460,0.04958,161,3
143,4.768333333,120.9,0.0994,3.68,395,2.3846,0.04958,161,3
144,4.801666667,120.9,0.099,3.68,0.395,2.3846,0.04958,161,903
145,4.835,120.9,0.0934,3.68,0.325,2.384601,0.04958,1.61,0.03
146,4.868333333,120.9,8,3.68,0.395,0.04958,161,903,254204
147,4.901666667,120.9,0.0934,3.68,0.325,2.384604,0.04958,1.61,0.03
148,4.935,120.9,0.093,3.68,0.395,2.3846,0.04958,161,3
149,4.968333333,120.9,0.093,3.68,0.395,2.3846,0.04958,1.61,3
150,5.001666667,120.9,0.0934,3.68,0.395,2.3846,0.04958,161,3
151,5.035,120.9,0.0934,3.68,395,2.3846,0.04958,161,3
152,5.068333333,120.9,0.0934,3.68,0.395,0.04958,1.61,3,250
153,5.101666667,20.9,0.088,3.68,0.395,2.384604,0.04958,161,3
154,5.135,120.9,0.093,3.68,0.395,238460,0.04958,161,3
155,5.168333333,120.9,0.0934,3.68,395,2.3846,0.04958,161,3
156,5.201666667,121.9,0.0934,3.69,0.395,2.3846,0.04958,161,3
158,5.268333333,121,0.0934,3.69,0.395,2.3846,0.04958,161,0.03
159,5.301666667,121,0.093,3.69,0.325,0.04958,161,903,250
160,5.335,121,0.093,3.69,0.395,2.3846,0.04958,1.61,0.03
161,5.368333333,121,0.0934,3.69,0.395,2.3846,0.0495,161,993
162,5.401666667,121,0.093,3.69,0.325,2.3846,0.04958,161,993
166,5.535,121,0.0934,3.69,0.395,2.3846,0.04958,161,993
167,5.568333333,121,0.093,3.69,0.395,2.384,60,161,903
168,5.601666667,121,0.0934,3.69,0.395,2.384604,0.04958,1.61,3
169,5.635,121,0.0934,3.69,0.395,2.384601,0.04958,161,3
185,6.17,121,0.0944,3.68,0.328,2.3846,0.04958,161,3
186,6.203333333,121,0.0944,3.68,0.399,2.3846045,0.04958,161,3
187,6.236666667,121,0.0944,3.68,0.399,2.38460405,0.04958,342047,20288710718
188,6.27,121,0.094,3.68,0.399,2.3846,0.04958,161,3
191,6.37,121,0.094,3.68,0.322,2.3846,0.04958,1.61,0.03
192,6.403333333,121,0.0944,3.68,0.399,2.3846,0.04958,1.61,0.03
193,6.436666667,121,0.0944,3.68,0.399,2.3846,0.04958,161,0.03
194,6.47,121,0.0944,3.68,0.329,2.384604,0.04958,1.61,93
195,6.503333333,121,0.0944,3.68,0.32,2.3846,0.049581,161,3
197,6.57,121,0.094,3.68,395,2.3846,0.04958,161,3
198,6.603333333,121,0.094,3.68,0.399,2.3846045,0.04958,161,3
199,6.636666667,121,0.094,3.68,0.399,2.384604,0.04958,161,993
200,6.67,121,0.094,3.68,0.399,2.384601,0.04958,161,903
201,6.703333333,121,0.084,3.69,0.325,0.04958,161,3,250204
202,6.736666667,121,0.094,3.69,0.393,0.04959,161,3,250
203,6.77,121,0.0944,3.69,0.393,0.04959,161,3,250204
204,6.803333333,121,0.094,3.69,0.325,2.38461,0.04959,161,0.03
205,6.836666667,121,0.094,3.69,393,0.04959,1.61,0.03,251
206,6.87,121,0.094,3.69,393,0.04959,1.61,3,250
207,6.903333333,121,0.0944,3.69,0.393,60,2.38461,161,0.03
208,6.936666667,121,0.0944,3.69,0.393,2.384614,0.04959,1.61,0.03
209,6.97,21,0.094,3.69,0.323,2.38461,0.04959,1.61,0.03
210,7.003333333,121,0.094,3.69,0.393,1.61,0.03,250,20
211,7.036666667,121,0.094,3.69,0.393,0.04959,161,3,250204
212,7.07,121,0.0044,3.69,0.309,161,0.03,3420147,2717
214,7.136666667,21,0.0944,3.69,0.393,0.04959,161,3,25120
215,7.17,21,0.0944,3.68,0.393,2.38461,0.04959,161,3
216,7.203333333,121,0.094,3.68,0.393,0.04959,161,3,254204
217,7.236666667,121,0.094,3.68,0.393,0.04959,1.61,0.03,251.2
218,7.27,121,0.0944,3.68,0.393,23846100,0.04959,161,3
219,7.303333333,121,0.0944,3.68,0.323,1.61,0.03,3420847,27
220,7.336666667,121,0.0944,3.68,0.393,73646,40,0.04959,161
221,7.37,121,0.094,3.68,0.393,2.3846,0.04959,161,3
222,7.403333333,121,0.0944,3.68,0.393,2.38461,0.0495,1.61,0.03
223,7.436666667,210,0.0944,3.68,0.393,2.38461,0.04959,161,3
224,7.47,121,0.094,3.68,0.323,0.04959,1.61,3,254204
225,7.503333333,121,0.094,3.68,0.303,0.04959,161,0.03,2502084
226,7.536666667,121,0.094,3.68,0.323,0.04959,161,3,25204
227,7.57,121,0.0944,3.68,0.393,0.04959,1.61,3,254204
228,7.603333333,121,0.094,3.68,0.323,0.04959,1.61,3,251204
229,7.636666667,121,0.094,3.68,0.309,2.38461,0.04959,161,3
230,7.67,121,0.098,3.68,393,2.384616,0.04959,1.61,3
231,7.703333333,121,0.093,3.68,0.394,2.38461,0.0495,1.61,0.03
232,7.736666667,121,0.093,3.68,0.324,2.384614,0.0495,1.61,0.03
234,7.803333333,210,2,3.68,394,2.38461,0.04959,161,3
235,7.836666667,121,0.0934,3.68,0.304,0.04959,161,0.03,250
236,7.87,121,0.0934,3.68,394,2.38461,0.0495,1.61,0.03
237,7.903333333,21,0.0934,3.68,0.324,2.38461,0.0495,161,903
238,7.936666667,121,0.093,3.68,394,2.38461,0.0495,342047,2088710718
241,8.036666667,121,0.09341,3.68,0.324,2.3846145,0.0495,1.61,0.03
242,8.07,121,0.093,3.68,394,0.04959,161,3,250204
244,8.136666667,121,0.0934,3.68,0.394,2.3846,0.04959,1.61,903
245,8.17,121,0.0934,3.68,0.394,2.3846,0.04959,1.61,3
246,8.203333333,121,0.0944,3.7,0.994,0.04959,1.61,0.03,254204
247,8.236666667,210,0.094,3.7,0.394,0.04959,161,0.03,254
248,8.27,121,0.094,3.7,0.324,2.384616,0.04959,1.61,3
